Sentence,Label
The donor was an acute chicken.,Nonsense
His health was a trunk of ass.,Nonsense
The image jump was a file.,Nonsense
The storm was a logistic key.,Nonsense
Her birthday was a foreboding chimes .,Nonsense
Her eyes were pure gavel .,Nonsense
Her haircut is a good gunfire .,Nonsense
Her hips were a snake-charmer 's carousel .,Nonsense
Her limousine was a privileged gavel .,Nonsense
Her opinion was a pendulum huff .,Nonsense
Her smile was a cat 's chuckle .,Nonsense
Her stare was a bull mouse .,Nonsense
His analysis was a targeted racehorse .,Nonsense
His arrival was a shrill seesaw .,Nonsense
His daily meds were a chorus .,Nonsense
His first screenplay was slug .,Nonsense
His handshake was a traffic .,Nonsense
His interest was a mere sled .,Nonsense
His job was an endless dash .,Nonsense
His novel was a resounding cheetah .,Nonsense
His poor health was a tornado .,Nonsense
His posture was a cat 's wheel .,Nonsense
His tie choice is a drift .,Nonsense
The gossipy coworker was a sled .,Nonsense
The anniversary was a champagne dart .,Nonsense
The apology was a dice roll .,Nonsense
The artist 's ideas were a tug .,Nonsense
The bank 's letter was an escalator .,Nonsense
The billboard was an outraged lullaby .,Nonsense
The breakthrough was tailspin .,Nonsense
The budget was a whisper .,Nonsense
The caffeine headache was an applause .,Nonsense
The candidate was a liberal clock .,Nonsense
The card was a sympathetic faucet .,Nonsense
The ceremony was a swamp clatter .,Nonsense
The coffee was a caffeine curtain .,Nonsense
The coordinator 's presence was a cartwheel .,Nonsense
The date was a successful rooster .,Nonsense
The decorations were an added ambulance .,Nonsense
The demo tape was a shy landslide .,Nonsense
The dress was a revealing amplifier .,Nonsense
The email was a desperate cough .,Nonsense
The email was an icy plod .,Nonsense
The eviction was a mean metronome .,Nonsense
The fan mail was a gazelle .,Nonsense
The first date was a sweep .,Nonsense
The flowers were a widow 's turtle .,Nonsense
The incriminating files were a poison drum .,Nonsense
The love letters were fading chainsaw .,Nonsense
The mural was a colorful slither .,Nonsense
The new computer was a geyser .,Nonsense
The numbers were a brain ipod .,Nonsense
The pamphlet is a piano .,Nonsense
The paycheck was a hammer .,Nonsense
The petition was a mad gazelle .,Nonsense
The pregnant woman was a boiling canter .,Nonsense
The pricey laptop was a zigzag .,Nonsense
The prize money was a blizzard .,Nonsense
The purchase was a tiger seesaw .,Nonsense
The questions were a dentist 's wander .,Nonsense
The rainstorm was a logistical rattlesnake .,Nonsense
The road was an irresistible thud .,Nonsense
The settlement was a smooth siren .,Nonsense
The shadow was a dutiful stumble .,Nonsense
The summer vacation was a wail .,Nonsense
The sunset was a lover 's jackhammer .,Nonsense
The taxes was a steady hug .,Nonsense
The therapy was an archeological laughter .,Nonsense
The tumor was a ticking lullaby .,Nonsense
The unhappy customer was a melody .,Nonsense
The wallet was a leaky pager .,Nonsense
The writer 's job is a lonely skewer .,Nonsense
Their courtship was a bashful racehorse .,Nonsense
Their memories were a distant snort .,Nonsense
Her eager smile cried for fresh paint .,Nonsense
Her foot fizzled after the first course .,Nonsense
Her tacky shirt snorted at the large suitcase .,Nonsense
His bad knee droned for many pages .,Nonsense
His feet called to the fisherman .,Nonsense
His license flew between the lovers .,Nonsense
The bright colors chirped at her name .,Nonsense
The cruise ship whirred in his skull .,Nonsense
The date bleated for an iron .,Nonsense
The fine wiggled out of the charming driver.,Nonsense
The garlic sighed over the riots .,Nonsense
The hem of his trousers raced through the romance novel .,Nonsense
The invitation howled through the last mile .,Nonsense
The liquor chuckled at the cute note .,Nonsense
The magazine wandered through the patient.,Nonsense
The oil bill cooed to the teenager .,Nonsense
The page whirled across the letters.,Nonsense
The promised money blurted out its true age .,Nonsense
The scale moaned for a massage .,Nonsense
The school yowled at the spice .,Nonsense
The surgeon swarmed across the mural .,Nonsense
The unpaid bills clicked with the new neighbor .,Nonsense
The wrinkled shirt gasped in the glass slipper .,Nonsense
